Year,Category,Winner
1961,Actor in a Leading Role,Maximilian Schell
1961,Actor in a Supporting Role,George Chakiris
1961,Actress in a Leading Role,Sophia Loren
1961,Actress in a Supporting Role,Rita Moreno
1961,Art Direction (Black-and-White),Harry Horner / Gene Callahan
1961,Art Direction (Color),Boris Leven / Victor A. Gangelin
1961,Cinematography (Black-and-White),Eugen Shuftan
1961,Cinematography (Color),Daniel L. Fapp
1961,Costume Design (Black-and-White),Piero Gherardi
1961,Costume Design (Color),Irene Sharaff
1961,Directing,Robert Wise / Jerome Robbins
1961,Film Editing,Thomas Stanford
1961,International Feature Film,Through a Glass Darkly
1961,Best Picture,West Side Story
1961,Writing (Adapted Screenplay),Abby Mann
1961,Writing (Original Screenplay),William Inge
1962,Actor in a Leading Role,Gregory Peck
1962,Actor in a Supporting Role,Ed Begley
1962,Actress in a Leading Role,Anne Bancroft
1962,Actress in a Supporting Role,Patty Duke
1962,Art Direction (Black-and-White),Alexander Golitzen / Henry Bumstead / Oliver Emert
1962,Art Direction (Color),John Box / John Stoll / Dario Simoni
1962,Cinematography (Black-and-White),Jean Bourgoin / Walter Wottitz / Henri Persin
1962,Cinematography (Color),Fred A. Young
1962,Costume Design (Black-and-White),Norma Koch
1962,Costume Design (Color),Mary Wills
1962,Directing,David Lean
1962,Film Editing,Anne Coates
1962,International Feature Film,Sundays and Cybele
1962,Best Picture,Lawrence of Arabia
1962,Writing (Adapted Screenplay),Horton Foote
1962,Writing (Original Screenplay),Ennio de Concini / Alfredo Giannetti / Pietro Germi
1963,Actor in a Leading Role,Sidney Poitier
1963,Actor in a Supporting Role,Melvyn Douglas
1963,Actress in a Leading Role,Patricia Neal
1963,Actress in a Supporting Role,Margaret Rutherford
1963,Art Direction (Black-and-White),Gene Callahan
1963,Art Direction (Color),John DeCuir / Jack Martin Smith / Hilyard Brown / Herman Blumenthal / Elven Webb / Maurice Pelling / Boris Juraga / Walter M. Scott / Paul S. Fox / Ray Moyer
1963,Cinematography (Black-and-White),James Wong Howe
1963,Cinematography (Color),Leon Shamroy
1963,Costume Design (Black-and-White),Piero Gherardi
